Component Name,Occurrence Name,Full Path,Description,Part Number,Material,Mass [kg],Volume [cm³],Density [kg/cm³],Surface Area [cm²],CoM X [cm],CoM Y [cm],CoM Z [cm],I1 [kg·cm²],I2 [kg·cm²],I3 [kg·cm²],Size X [cm],Size Y [cm],Size Z [cm],Young's Modulus [Pa],Poisson's Ratio,Shear Modulus [Pa],Thermal Conductivity [W/m·K],Thermal Expansion [1/K]
IGUS W v2,IGUS W v2:1,IGUS W v2:1,,IGUS W v2,Steel,44.689856,5692.975263,0.00785,22539.03474,7.016933,173.174851,-14.946996,1,510060.297473,378.549179,5.902,370.002,7.402,N/A,N/A,N/A,N/A,N/A
Item8x40 v2,Item8x40 v2:1,Item8x40 v2:1,,Item8x40 v2,Steel,2.695835,343.418522,0.00785,2308.494618,6.26513,350.824853,3.152965,1,218.886963,206.207065,4.002,8.002,30.002,N/A,N/A,N/A,N/A,N/A
IGUS W v1,IGUS W v1:1,IGUS W v1:1,,IGUS W v1,Steel,41.948073,5343.703507,0.00785,21158.122581,7.016933,173.17485,9.252965,1,421848.377809,355.324672,5.902,347.302,7.402,N/A,N/A,N/A,N/A,N/A
Support,Support:1,Support:1,,Support,Steel,2.695835,343.418527,0.00785,2308.494639,6.26513,-4.475147,3.153004,1,218.886966,206.207068,4.003,8.002,30.004,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:1+Item-Angle-Bracket-5-20x20 v2:1+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,1.174852,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:1,Profile 5:1+Item-Angle-Bracket-5-20x20 v2:1,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,1.174852,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:1+Item-Angle-Bracket-5-20x20 v2:2+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,7.174852,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:2,Profile 5:1+Item-Angle-Bracket-5-20x20 v2:2,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,7.174852,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:1+Item-Angle-Bracket-5-20x20 v2:3+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,1.174855,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:3,Profile 5:1+Item-Angle-Bracket-5-20x20 v2:3,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,1.174855,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:1+Item-Angle-Bracket-5-20x20 v2:4+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,7.174855,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:4,Profile 5:1+Item-Angle-Bracket-5-20x20 v2:4,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,7.174855,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Profile 5,Profile 5:1,Profile 5:1,,Profile 5,Steel,1.139815,145.199311,0.00785,964.282766,5.296119,4.174713,-2.835505,1,42.298048,35.635156,4.250289,17.004,20.886142,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:1+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,49.460566,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:1,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:1,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,49.460566,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:2+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,55.460566,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:2,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:2,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,55.460566,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:3+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,49.460569,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:3,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:3,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,49.460569,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:4+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,55.460569,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:4,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:4,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,55.460569,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Profile 5,Profile 5:2,Profile 5:2,,Profile 5,Steel,1.139815,145.199311,0.00785,964.282766,5.296119,52.460427,-2.835505,1,42.298048,35.635156,4.250289,17.004,20.886142,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:1+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,97.746281,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:1,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:1,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,97.746281,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:2+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,103.746281,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:2,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:2,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,103.746281,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
